Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
1681869686,180,cuGetProcAddress_v2,0,518,15766,15766,20,darknet
1681869937,170,cuGetProcAddress_v2,0,519,15766,15766,20,darknet
1681870237,301,cuGetProcAddress_v2,0,520,15766,15766,20,darknet
1681870898,271,cuGetProcAddress_v2,0,521,15766,15766,20,darknet
1681871299,200,cuGetProcAddress_v2,0,522,15766,15766,20,darknet
1681871630,70,cuGetProcAddress_v2,0,523,15766,15766,20,darknet
1681871830,200,cuGetProcAddress_v2,0,524,15766,15766,20,darknet
1681872090,201,cuGetProcAddress_v2,0,525,15766,15766,20,darknet
1681872411,140,cuGetProcAddress_v2,0,526,15766,15766,20,darknet
1681872682,180,cuGetProcAddress_v2,0,527,15766,15766,20,darknet
1681872982,190,cuGetProcAddress_v2,0,528,15766,15766,20,darknet
1681873233,80,cuGetProcAddress_v2,0,529,15766,15766,20,darknet
